2026-02-14 00:25:02 - app.core.logging - INFO - 📋 Logging configured - Level: INFO, File: C:\Users\Balmukund.Mishra\Desktop\NEO\Neo-Chatbot\backend\logs\chatbot_20260214.log
2026-02-14 00:25:02 - __main__ - INFO - 🚀 Starting NEO Chatbot server...
2026-02-14 00:25:39 - app.core.logging - INFO - 📋 Logging configured - Level: INFO, File: C:\Users\Balmukund.Mishra\Desktop\NEO\Neo-Chatbot\backend\logs\chatbot_20260214.log
2026-02-14 00:25:40 - app.core.logging - INFO - 📋 Logging configured - Level: INFO, File: C:\Users\Balmukund.Mishra\Desktop\NEO\Neo-Chatbot\backend\logs\chatbot_20260214.log
2026-02-14 00:25:40 - app.services.query_classification_service - INFO - ✅ Loaded 1508 classified queries
2026-02-14 00:25:40 - app.services.query_classification_service - INFO - ✅ Loaded learned patterns
2026-02-14 00:25:40 - app.services.query_classification_service - INFO - ✅ Query Classification Service initialized | 1508 classified queries
2026-02-14 00:25:40 - app.main - INFO - ✅ Classification service initialized
2026-02-14 00:26:07 - app.utils.session_manager - INFO - 🆕 New session created: cc117f11-1ae (type: sql_assistant)
2026-02-14 00:26:07 - app.api.chatbot_endpoints - INFO - 🆕 Created new session: cc117f11-1ae (type: sql_assistant)
2026-02-14 00:26:07 - app.api.chatbot_endpoints - INFO - 📨 Chat request: type=ChatbotType.SQL_ASSISTANT, message=give me top 5 most frequently ordered skus...
2026-02-14 00:26:07 - app.services.sql_assistant.retry_engine - INFO - 🔄 SQL generation attempt 1/3
2026-02-14 00:26:15 - app.services.sql_assistant.retry_engine - INFO - ✅ Generated SQL: SELECT
  pwm.SKU_ID,
  sm.SKU_NAME,
  COUNT(DISTINCT CONCAT(pwm.ORDER_ID, '-', pwm.ORDER_LINE_ID)) AS order_line_count,
  SUM(COALESCE(pwm.EXPECTED_QU
2026-02-14 00:26:15 - app.services.sql_assistant.retry_engine - WARNING - ❌ Attempt 1 failed: Invalid table: pick_wave_order_master
2026-02-14 00:26:15 - app.services.sql_assistant.retry_engine - INFO - 🔄 Retrying with feedback...
2026-02-14 00:26:15 - app.services.sql_assistant.retry_engine - INFO - 🔄 SQL generation attempt 2/3
2026-02-14 00:26:22 - app.services.sql_assistant.retry_engine - INFO - ✅ Generated SQL: SELECT
  pwm.SKU_ID,
  sm.SKU_NAME,
  COUNT(DISTINCT CONCAT(pwm.ORDER_ID, '-', pwm.ORDER_LINE_ID)) AS order_line_count
FROM pick_wave_order_master AS 
2026-02-14 00:26:22 - app.services.sql_assistant.retry_engine - WARNING - ❌ Attempt 2 failed: Invalid table: pick_wave_order_master
2026-02-14 00:26:22 - app.services.sql_assistant.retry_engine - INFO - 🔄 Retrying with feedback...
2026-02-14 00:26:22 - app.services.sql_assistant.retry_engine - INFO - 🔄 SQL generation attempt 3/3
2026-02-14 00:26:27 - app.services.sql_assistant.retry_engine - INFO - ✅ Generated SQL: SELECT
  pwm.SKU_ID,
  sm.SKU_NAME,
  COUNT(*) AS order_line_count
FROM pick_wave_order_master AS pwm
JOIN sku_master AS sm
  ON sm.SKU_ID = pwm.SKU_I
2026-02-14 00:26:27 - app.services.sql_assistant.retry_engine - WARNING - ❌ Attempt 3 failed: Invalid table: pick_wave_order_master
2026-02-14 00:26:27 - app.services.sql_assistant.retry_engine - ERROR - ❌ SQL generation failed after 3 attempts. Last error: Invalid table: pick_wave_order_master
2026-02-14 00:26:27 - app.api.chatbot_endpoints - ERROR - ❌ Error in chat endpoint: SQL generation failed after 3 attempts: Invalid table: pick_wave_order_master
Traceback (most recent call last):
  File "C:\Users\Balmukund.Mishra\Desktop\NEO\Neo-Chatbot\backend\app\api\chatbot_endpoints.py", line 146, in chat
    response = sql_service.process_query(request)
  File "C:\Users\Balmukund.Mishra\Desktop\NEO\Neo-Chatbot\backend\app\services\sql_assistant\sql_assistant.py", line 178, in process_query
    generation_result, execution_result = self.retry_engine.run(
                                          ~~~~~~~~~~~~~~~~~~~~~^
        generate_fn,
        ^^^^^^^^^^^^
    ...<3 lines>...
        semantic_validator=self.semantic_validator
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\Balmukund.Mishra\Desktop\NEO\Neo-Chatbot\backend\app\services\sql_assistant\retry_engine.py", line 96, in run
    raise Exception(
        f"SQL generation failed after {self.max_attempts} attempts: {last_error}"
    )
Exception: SQL generation failed after 3 attempts: Invalid table: pick_wave_order_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ Schema Generator Service initialized
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - 🚀 Starting schema generation...
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - 📊 Extracting schema from database...
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO - ✅ Found 166 tables in database
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: alarm_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: api_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: article_proximity_score
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: article_registered
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: articles_registered
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: auto_calibration_logs
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bin_configuration
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bin_info_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bin_loading_wave_order_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bin_velocity_scores
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bot_alarm_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bot_charging_bit_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bot_manual_alarm_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bot_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: bot_master_log
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: category_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: category_matrix
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: chatbot_chat_history
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: chatbot_column_corrections
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: chatbot_feedback
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: chatbot_query_patterns
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: chatbot_sql_queries
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: config_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: controller_reservations_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_access_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_bot_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_breadcrumb_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_config
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_grid_points_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_log_bot_charging
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_log_error_api
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_log_location_block_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_log_maintenance_task_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_log_manual_task_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_log_user_login_attempts
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_log_wave_process
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_manual_task_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_master_data
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_menu_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_report_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_report_role_mapping
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_role_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_role_menu_access_mapping
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_tab_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_table_columns_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_table_header_json_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_table_header_json_user_mapping
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_table_parameters_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_user_master
2026-02-14 00:28:31 - app.services.schema_generator_service - INFO -    📋 Processing table: dashboard_user_role_setting_mapping
